,x,y,label,state
1971,0.945504648402357,1.8271627850261307,3,CA
1973,-2.534015578396858,-3.0052668048432962,7,NV
1982,3.0959922952140344,14.389350109057817,2,CA
1988,-6.948742340916388,-0.435599079555557,1,NV
1996,15.577926897312006,-8.890220096778018,4,CA
1998,-2.1970408984862457,-0.7629095932569414,7,CA
2011,7.99778677157289,-6.3366307963555775,4,NC
2022,-8.3562914496621,0.6009593060676636,1,NV
2036,1.923241577696986,-3.1754642260953037,4,CA
2047,-0.38977712505448936,-2.9716167082178955,4,CA
2052,9.404793566372,14.862049117074173,2,NC
2055,-2.794994575449113,-1.2161557634549645,1,NC
2056,-1.370292610622993,-2.923094472107841,4,CA
2060,-1.9829563323144144,-4.2912823408647,7,CA
2065,2.4348469396668166,-2.9634147405502054,0,NM
2069,-7.630290537109001,-0.6069723677599792,7,CA
2070,5.6338739008946686,-4.870629872907017,4,NM
2076,1.3437834973683416,-4.059892765332783,4,CA
2077,-11.205612709953467,2.3979274322963424,1,CA
2082,-0.6691714123249949,-0.245250392565527,4,CA
2087,1.229659758982117,-2.633562531768753,1,NV
2089,7.822022268582758,-5.885846154810028,4,CA
2091,1.844892806109448,-5.247690287150605,4,CA
2100,3.9377881629407714,-2.3788263222500863,4,CA
2103,-6.464762373838757,0.35363724639812294,7,CA
2113,-1.2524559392055612,-3.2742685473183424,4,CA
2117,-5.174915636213339,-0.417703444624798,1,NM
2122,4.812935418905005,-4.01940804061053,4,CA
2123,-1.132581150780893,-2.9139965816442293,4,NC
2125,-3.639247592791394,-0.44491517083877324,7,CA
2129,-1.1544558470582384,-3.799376268360433,7,CA
2133,4.168465351514614,-4.720699477178335,4,CA
2135,-2.294252049973167,-1.8468225820262896,4,CA
2143,-0.5582270035331396,-4.190211420699554,7,NC
2157,-4.33605318329812,-2.6167869427211117,7,CA
2161,-0.09143575786291065,-0.9151969003213847,4,NM
2168,-9.206581036030293,1.2296736491543967,1,NV
2172,0.23228069430033135,-2.45016268919704,4,NV
2174,-11.03110569942719,0.677306758656269,7,CA
2177,-6.10635236653064,-0.8917851307739694,4,CA
2178,-1.1609847134299336,-3.3809259581059217,7,CA
2180,-0.62210819184203,-3.753348375154039,4,CA
2181,1.1362909720549952,-3.1124160868194477,0,CA
2183,8.872922039346298,-5.723984373894768,6,CA
2185,8.830311355754457,-5.236877858785927,4,CA
2190,-5.322265300110795,-1.8545289909425056,7,NC
2196,-6.29409938468558,-0.03890421022160066,7,CA
2204,-0.9735044198757408,-3.2037201887995597,4,NC
2205,-2.1545265443303814,-1.7202210744565358,4,CA
2208,0.9264039652567004,-4.145059418163422,0,CA
2215,1.199126917824469,-3.939192516332171,4,NV
2221,-0.28068808590528693,-2.6147219629993037,4,CA
2223,-10.06345961013488,1.4419570178543668,0,NC
2225,-6.189247819402682,4.289408205172528,1,CA
2227,-8.627294511119036,-0.898032129885151,7,CA
2229,-5.797702459278121,-1.0606332666756961,5,NC
2246,-2.8981390028138327,-1.8440562216349894,4,CA
2249,3.012864998913745,-3.5194056355269523,4,CA
2252,-5.824103894892933,-1.7546274455213442,7,CA
2257,-4.1846381753713064,-3.07120396948118,0,NV
2258,0.4969820325377821,-2.8144287161780968,7,NC
2260,-4.110036525300344,-0.27930454900621354,1,CA
2267,-5.620170120469945,-1.0092052423452968,4,CA
2269,-0.4541199274401776,-2.8596920504495413,4,CA
2273,-0.8817731438490994,-2.080999181944084,0,CA
2278,-4.287755142714589,-0.5082510983106059,0,NM
2280,2.826879946812191,-0.1746760487363726,3,CA
2286,6.095928990671457,-5.488816556292216,0,CA
2289,-8.735773096570293,-0.4558957185891465,0,CA
2294,2.1668830331860782,-3.9585805086580996,4,CA
2296,7.9130548017833515,-6.191283973914339,4,CA
2297,-8.447196589283948,0.007773036489660184,7,NV
2298,-10.977947862664807,1.3554562657823095,1,NV
2299,-4.426869348694544,-1.0663257971772695,1,CA
2305,-5.776248956500037,-0.6699408102947514,4,CA
2314,-3.466212048707463,-1.6312658767803188,1,CA
2326,8.700842719008996,-5.099706715042751,1,CA
2332,-7.4820060658874565,1.7423602859744467,1,CA
2338,-10.328327640541744,1.1145788296235244,1,CA
